anuncio,id,status,gasto_brl,compras,roas,cpa_brl,ctr,cpm_brl,frequencia,impressoes,atualizado
AD02 - VIDEO 2,120252678778360102,CAMPAIGN_PAUSED,189.21,5,7.31,37.84,"1,32%",24.28,1.16,7792,2026-06-10
AD02,120254618555090102,CAMPAIGN_PAUSED,188.05,9,11.18,20.89,"2,70%",30.25,1.17,6217,2026-07-14
AD01 - VÍDEO 1,120253689989310102,CAMPAIGN_PAUSED,184.73,1,2.06,184.73,"1,70%",40.82,1.33,4526,2026-06-24
AD07 - LOW CARB,120255705148330102,ACTIVE,177.48,2,1.88,88.74,"1,38%",32.3,1.03,5494,2026-08-28
AD02,120254795789460102,CAMPAIGN_PAUSED,175.42,6,3.8,29.24,"2,06%",27.39,1.16,6404,2026-07-21
AD01 - VÍDEO 1,120254843736180102,CAMPAIGN_PAUSED,173.33,12,20.61,14.44,"1,87%",24.16,1.56,7174,2026-07-23
AD01 - VÍDEO 1,120253304642920102,CAMPAIGN_PAUSED,172.76,0,0.0,,"1,26%",24.13,1.04,7160,2026-06-19
AD03 - KONJAC10,120253068257840102,CAMPAIGN_PAUSED,172.46,2,1.89,86.23,"1,53%",23.92,1.41,7209,2026-06-17
AD02,120254883660000102,CAMPAIGN_PAUSED,171.11,2,1.4,85.56,"2,44%",44.46,1.06,3849,2026-07-24
AD02,120254482169820102,CAMPAIGN_PAUSED,166.46,2,2.45,83.23,"2,44%",30.29,1.33,5495,2026-07-09
