conjunto,id,status,meta_otimizacao,estrategia_lance,gasto_brl,compras,roas,cpa_brl,ctr,frequencia,atualizado
01 - [FEED/STORIES] ADV+,120253055772290102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,426.74,7,2.86,60.96,"2,29%",1.23,2026-06-16
01 - [FEED/STORIES] QUENTE,120254823821670102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,425.71,11,4.52,38.7,"3,02%",1.53,2026-07-22
01 - Cup,120254883195580102,CAMPAIGN_PAUSED,VALUE,,383.67,4,2.09,95.92,"6,07%",1.34,2026-07-24
01 - [FEED/STORIES] ADV+,120253127414300102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,382.0,6,1.99,63.67,"2,00%",1.15,2026-06-17
01 - Nordeste,120253126925750102,CAMPAIGN_PAUSED,VALUE,,373.7,0,0.0,,"1,36%",1.51,2026-06-17
01 - [FEED/STORIES] LOOKALIKE,120254883659970102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,373.59,4,1.7,93.4,"1,77%",1.18,2026-07-24
01 - Low Carb,120254795762560102,CAMPAIGN_PAUSED,VALUE,,366.35,9,5.92,40.71,"4,21%",1.52,2026-07-21
01 - [FEED/STORIES] FRIO,120253202874120102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,339.65,2,1.62,169.82,"1,50%",1.17,2026-06-18
01 - [FEED/STORIES] FRIO,120253209558550102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,335.04,2,1.91,167.52,"1,85%",1.18,2026-06-18
01 - [FEED/STORIES],120254152555560102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,333.29,1,0.13,333.29,"1,73%",1.31,2026-06-30
01 - [FEED/STORIES] QUENTE,120255001921910102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,328.26,5,3.62,65.65,"3,66%",1.14,2026-08-28
01 - [FEED/STORIES] FRIO,120253765372120102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,295.37,3,2.27,98.46,"2,07%",1.4,2026-06-25
01 - [FEED/STORIES] ADV+,120254482169860102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,294.45,2,1.39,147.22,"2,21%",1.43,2026-07-09
01 - IG & FB,120254795704560102,CAMPAIGN_PAUSED,PROFILE_VISIT,,293.32,0,0.0,,"5,61%",1.22,2026-07-21
01 - [FEED/STORIES] KONJAC10 MORNO,120253068257870102,CAMPAIGN_PAUSED,VALUE,,286.39,5,3.41,57.28,"1,47%",1.48,2026-06-16
01 - [FEED/STORIES] LOOKALIKE,120254617448000102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,285.15,2,2.08,142.57,"1,90%",1.11,2026-07-14
01 - [FEED/STORIES] FRIO,120253304642970102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,281.58,1,1.24,281.58,"1,45%",1.08,2026-06-19
01 - [FEED/STORIES] ADV+,120253140454650102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,280.44,5,3.76,56.09,"1,29%",1.36,2026-06-17
01 - [FEED/STORIES] ADV+,120252513423000102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,269.89,5,4.03,53.98,"2,44%",1.36,2026-06-08
01 - [FEED/STORIES] VOLTEI10 RECOMPRA,120253068257900102,CAMPAIGN_PAUSED,VALUE,,263.61,4,4.09,65.9,"1,60%",2.31,2026-06-16
